file,peers,entries,origin_sets,v4_pfxs,ignored_v4_pfxs,ignored_v4_pfxs_pct,final_v4_pfxs,v6_pfxs,ignored_v6_pfxs,ignored_v6_pfxs_pct,final_v6_pfxs
data/ris/rrc00/2025.06/bview.20250601.0000.gz,107,51103018,1277,1041129,6714,0.6448768596398717,1034415,230300,1702,0.739036039947894,228598
data/ris/rrc01/2025.06/bview.20250601.0000.gz,138,40746170,1013,1042092,5613,0.5386280673875243,1036479,238519,1458,0.6112720579911873,237061
data/ris/rrc03/2025.06/bview.20250601.0000.gz,162,41510797,1000,1034891,5963,0.5761959472060343,1028928,233339,1434,0.614556503627769,231905
data/ris/rrc04/2025.06/bview.20250601.0000.gz,22,8787365,230,1010826,3919,0.3877027302423958,1006907,223370,1204,0.5390159824506424,222166
data/ris/rrc05/2025.06/bview.20250601.0000.gz,68,13759551,339,1014593,4221,0.4160288904023584,1010372,225366,925,0.41044345642199803,224441
data/ris/rrc06/2025.06/bview.20250601.0000.gz,21,6165180,158,1013028,3776,0.3727438925676289,1009252,224914,4953,2.2021750535760334,219961
data/ris/rrc07/2025.06/bview.20250601.0000.gz,39,10195350,248,1010799,4357,0.4310451434953932,1006442,224887,947,0.4211003748549272,223940
data/ris/rrc10/2025.06/bview.20250601.0000.gz,59,17404479,416,1003030,4510,0.4496375980778242,998520,223013,1232,0.5524341630308547,221781
data/ris/rrc11/2025.06/bview.20250601.0000.gz,47,10370549,264,1011436,4807,0.4752648709359762,1006629,233849,5484,2.345103036574884,228365
data/ris/rrc12/2025.06/bview.20250601.0000.gz,149,41872668,996,1047418,6536,0.6240106624098497,1040882,227953,1517,0.6654880611354095,226436
data/ris/rrc13/2025.06/bview.20250601.0000.gz,28,6245202,152,1012499,3886,0.38380284820034394,1008613,223546,817,0.3654728780653646,222729
data/ris/rrc14/2025.06/bview.20250601.0000.gz,26,7565779,193,1008542,4537,0.449857318782956,1004005,225680,1290,0.5716058135412974,224390
data/ris/rrc15/2025.06/bview.20250601.0000.gz,61,21303346,543,1050657,5197,0.49464287583864186,1045460,239198,1376,0.5752556459502169,237822
data/ris/rrc16/2025.06/bview.20250601.0000.gz,29,3982659,94,983163,1680,0.17087705700885814,981483,219192,780,0.3558524033723859,218412
data/ris/rrc18/2025.06/bview.20250601.0000.gz,25,1213096,31,986006,121,0.012271730597988249,985885,211318,4,0.0018928818179236979,211314
data/ris/rrc19/2025.06/bview.20250601.0000.gz,67,12433085,300,1006788,4852,0.48192866820025665,1001936,235986,1194,0.5059622180976837,234792
data/ris/rrc20/2025.06/bview.20250601.0000.gz,66,29023985,695,1017526,4746,0.4664254279497526,1012780,229546,1295,0.5641570752703162,228251
data/ris/rrc21/2025.06/bview.20250601.0000.gz,74,27235363,672,1024723,4758,0.46432060176262263,1019965,226704,1336,0.5893147011080527,225368
data/ris/rrc22/2025.06/bview.20250601.0000.gz,31,4233254,71,1007961,1713,0.1699470515228268,1006248,219403,627,0.28577549076357206,218776
data/ris/rrc23/2025.06/bview.20250601.0000.gz,60,10194508,249,1024368,4502,0.4394904956031427,1019866,227553,1031,0.4530812601899338,226522
data/ris/rrc24/2025.06/bview.20250601.0000.gz,32,13054653,343,1024133,3802,0.37124084469497615,1020331,229446,1106,0.4820306303008115,228340
data/ris/rrc25/2025.06/bview.20250601.0000.gz,119,55432464,1431,1099703,6552,0.5957972288881634,1093151,248805,6002,2.412330941902293,242803
data/ris/rrc26/2025.06/bview.20250601.0000.gz,30,3597517,97,1000945,3751,0.37474586515742625,997194,232823,515,0.22119807750952442,232308
data/routeviews/amsix.ams/2025.06/rib.20250601.0000.bz2,84,29983845,696,1022046,5781,0.5656301184095432,1016265,230656,1362,0.5904897336293008,229294
data/routeviews/cix.atl/2025.06/rib.20250601.0000.bz2,20,1476019,34,975902,96,0.009837053310680785,975806,210930,93,0.044090456549566205,210837
data/routeviews/interlan.otp/2025.06/rib.20250601.0000.bz2,11,2022132,35,998287,292,0.02925010543060262,997995,214298,151,0.07046262680939626,214147
data/routeviews/iraq-ixp.bgw/2025.06/rib.20250601.0000.bz2,8,730,0,244,0,0.0,244,59,0,0.0,59
data/routeviews/kinx.icn/2025.06/rib.20250601.0000.bz2,17,33051,0,17737,2,0.011275864013080002,17735,2099,0,0.0,2099
data/routeviews/namex.fco/2025.06/rib.20250601.0000.bz2,35,6890672,157,1013045,3871,0.3821153058353775,1009174,218936,764,0.3489604267913911,218172
data/routeviews/pacwave.lax/2025.06/rib.20250601.0000.bz2,10,164994,10,32365,3,0.009269272362119572,32362,38074,0,0.0,38074
data/routeviews/pit.scl/2025.06/rib.20250601.0000.bz2,28,2007054,38,977462,1188,0.12153925165377273,976274,210626,474,0.22504344193024603,210152
data/routeviews/pitmx.qro/2025.06/rib.20250601.0000.bz2,20,1476665,42,1010748,4,0.00039574651644128903,1010744,225217,752,0.3339001940350862,224465
data/routeviews/route-views.amsix/2025.06/rib.20250601.0000.bz2,88,24508996,560,1034755,5392,0.5210895332711608,1029363,238120,1430,0.600537544095414,236690
data/routeviews/route-views.bdix/2025.06/rib.20250601.0000.bz2,4,14628,0,6806,0,0.0,6806,736,0,0.0,736
data/routeviews/route-views.bknix/2025.06/rib.20250601.0000.bz2,27,1827151,43,990088,234,0.02363426281300248,989854,223602,531,0.2374755145302815,223071
data/routeviews/route-views.chicago/2025.06/rib.20250601.0000.bz2,61,18432830,434,1011933,4746,0.46900338263501634,1007187,230219,1374,0.5968230250326862,228845
data/routeviews/route-views.chile/2025.06/rib.20250601.0000.bz2,4,2412331,66,994255,1341,0.13487485604799573,992914,217694,262,0.12035242128859776,217432
data/routeviews/route-views.eqix/2025.06/rib.20250601.0000.bz2,74,25263777,588,1038713,6033,0.5808149123001253,1032680,239974,1408,0.5867302291081533,238566
data/routeviews/route-views.flix/2025.06/rib.20250601.0000.bz2,64,12707798,289,1007370,4589,0.4555426506646019,1002781,226662,1183,0.521922510169327,225479
data/routeviews/route-views.fortaleza/2025.06/rib.20250601.0000.bz2,41,9331120,205,1023707,2659,0.25974228954183176,1021048,232338,912,0.392531570384526,231426
data/routeviews/route-views.gixa/2025.06/rib.20250601.0000.bz2,5,2280,0,1259,0,0.0,1259,0,0,0,0
data/routeviews/route-views.gorex/2025.06/rib.20250601.0000.bz2,20,332542,2,102609,2,0.00194914676100537,102607,66197,0,0.0,66197
data/routeviews/route-views.isc/2025.06/rib.20250601.0000.bz2,29,7262750,170,1011714,4849,0.479285647920262,1006865,228753,760,0.33223607996397864,227993
data/routeviews/route-views.kixp/2025.06/rib.20250601.0000.bz2,32,5424895,125,1003866,2979,0.296752753853602,1000887,222346,789,0.3548523472425859,221557
data/routeviews/route-views.linx/2025.06/rib.20250601.0000.bz2,93,36103591,841,1037913,5883,0.5668105130198774,1032030,231829,1466,0.6323626466059035,230363
data/routeviews/route-views.mwix/2025.06/rib.20250601.0000.bz2,10,282665,0,92443,1,0.001081747671538137,92442,51455,0,0.0,51455
data/routeviews/route-views.napafrica/2025.06/rib.20250601.0000.bz2,85,22135020,546,1021694,5124,0.5015200245866179,1016570,234934,5588,2.378540356014881,229346
data/routeviews/route-views.nwax/2025.06/rib.20250601.0000.bz2,13,1006853,21,1001272,2,0.0001997459231857078,1001270,348,0,0.0,348
data/routeviews/route-views.ny/2025.06/rib.20250601.0000.bz2,28,7732166,172,1019917,4744,0.46513588850857474,1015173,228823,775,0.33868972961634103,228048
data/routeviews/route-views.perth/2025.06/rib.20250601.0000.bz2,67,7513273,137,991282,1240,0.12509053932180753,990042,222207,773,0.347873829357311,221434
data/routeviews/route-views.peru/2025.06/rib.20250601.0000.bz2,8,6206,0,5412,0,0.0,5412,277,0,0.0,277
data/routeviews/route-views.phoix/2025.06/rib.20250601.0000.bz2,11,2222526,62,1005889,945,0.09394674760336379,1004944,223522,531,0.23756050858528469,222991
data/routeviews/route-views.rio/2025.06/rib.20250601.0000.bz2,46,12153680,273,1022723,2845,0.2781789399475713,1019878,224312,1094,0.48771354185241983,223218
data/routeviews/route-views.sfmix/2025.06/rib.20250601.0000.bz2,28,5151211,111,1009015,3097,0.3069329990138898,1005918,228077,593,0.2599999123103163,227484
data/routeviews/route-views.soxrs/2025.06/rib.20250601.0000.bz2,14,1780325,32,975973,101,0.010348646940028055,975872,210450,314,0.1492040864813495,210136
data/routeviews/route-views.sydney/2025.06/rib.20250601.0000.bz2,52,16329174,362,1019027,5076,0.4981222283609757,1013951,229389,961,0.41893900753741464,228428
data/routeviews/route-views.telxatl/2025.06/rib.20250601.0000.bz2,30,7365364,170,1005750,4335,0.43102162565249813,1001415,227835,1200,0.5266969517413918,226635
data/routeviews/route-views.uaeix/2025.06/rib.20250601.0000.bz2,37,5258343,111,1024687,2798,0.2730589926484868,1021889,233261,633,0.27136983893578437,232628
data/routeviews/route-views.wide/2025.06/rib.20250601.0000.bz2,9,3612248,87,1007759,2243,0.2225730556611253,1005516,221589,4545,2.0510945940457335,217044
data/routeviews/route-views2.saopaulo/2025.06/rib.20250601.0000.bz2,72,18056500,391,1020165,4058,0.3977787906858204,1016107,230657,1062,0.4604239194995166,229595
data/routeviews/route-views2/2025.06/rib.20250601.0000.bz2,27,22245602,482,1037701,5996,0.5778157677404184,1031705,0,0,0,0
data/routeviews/route-views3/2025.06/rib.20250601.0000.bz2,37,24730908,565,1030685,5973,0.5795175053483848,1024712,229607,1487,0.6476283388572648,228120
data/routeviews/route-views4/2025.06/rib.20250601.0000.bz2,39,22830851,547,1042240,5691,0.5460354620816702,1036549,238017,1510,0.634408466622132,236507
data/routeviews/route-views5/2025.06/rib.20250601.0000.bz2,37,21095272,496,1055388,5557,0.5265362122745378,1049831,233322,1194,0.5117391416154499,232128
data/routeviews/route-views6/2025.06/rib.20250601.0000.bz2,25,4956508,154,0,0,0,0,233179,5579,2.3925825224398425,227600
data/routeviews/route-views7/2025.06/rib.20250601.0000.bz2,49,26022266,614,1040784,5222,0.5017371519931129,1035562,236660,1938,0.8188963069382237,234722
data/routeviews/route-views8/2025.06/rib.20250601.0000.bz2,6,3516071,93,1013187,4499,0.4440443866729439,1008688,231592,925,0.3994093060209334,230667
