average collectors per prefix,59.562240591487765,,
total prefixes,1530519,100%,
ignored prefixes,155275,10.145251382047528%, 100%
announced by multiple ases,17308,1.1308582252164134%,11.146675253582353%
below threshold,137967,9.014393156831115%,88.85332474641766%
used prefixes,1375244,89.85474861795247%,
