average collectors per prefix,52.609557183531045,,
total prefixes,1553926,100%,
ignored prefixes,214703,13.816809809476126%, 100%
announced by multiple ases,18515,1.1914981794499866%,8.623540425611193%
below threshold,196188,12.62531163002614%,91.3764595743888%
used prefixes,1339223,86.18319019052387%,
