file,peers,entries,origin_sets,v4_pfxs,ignored_v4_pfxs,ignored_v4_pfxs_pct,final_v4_pfxs,v6_pfxs,ignored_v6_pfxs,ignored_v6_pfxs_pct,final_v6_pfxs
data/ris/rrc00/2025.10/bview.20251001.0000.gz,113,54458914,1179,1067984,6185,0.5791285262700565,1061799,242210,1591,0.6568680071012758,240619
data/ris/rrc01/2025.10/bview.20251001.0000.gz,144,42636924,921,1044723,5248,0.5023341115300419,1039475,240913,1123,0.46614337956025614,239790
data/ris/rrc03/2025.10/bview.20251001.0000.gz,156,38556115,812,1058133,5528,0.5224296000597278,1052605,240432,1358,0.5648166633393226,239074
data/ris/rrc04/2025.10/bview.20251001.0000.gz,22,8991821,207,1027139,3246,0.3160234398654905,1023893,233575,818,0.3502087124050091,232757
data/ris/rrc05/2025.10/bview.20251001.0000.gz,68,14089929,291,1026704,3619,0.35248718228428055,1023085,231561,1067,0.4607857108925942,230494
data/ris/rrc06/2025.10/bview.20251001.0000.gz,22,6304734,141,1032167,2976,0.2883254357095315,1029191,235717,4832,2.0499157888484922,230885
data/ris/rrc07/2025.10/bview.20251001.0000.gz,39,10437917,212,1032837,3580,0.34661810140419064,1029257,236315,620,0.26236167826841295,235695
data/ris/rrc10/2025.10/bview.20251001.0000.gz,61,17938379,364,1023173,3736,0.3651386422432961,1019437,232952,853,0.36616985473402247,232099
data/ris/rrc11/2025.10/bview.20251001.0000.gz,46,10622511,233,1030622,4137,0.40140808172152354,1026485,242175,5132,2.119128729224734,237043
data/ris/rrc12/2025.10/bview.20251001.0000.gz,155,43162344,886,1057805,6252,0.5910352097031116,1051553,238373,1302,0.5462027998137373,237071
data/ris/rrc13/2025.10/bview.20251001.0000.gz,28,6396362,142,1031479,3162,0.3065501091151637,1028317,233357,471,0.20183667085195645,232886
data/ris/rrc14/2025.10/bview.20251001.0000.gz,25,6507044,142,1023919,3199,0.31242705721839326,1020720,231800,955,0.41199309749784296,230845
data/ris/rrc15/2025.10/bview.20251001.0000.gz,60,19794111,439,1068622,4927,0.4610610674307659,1063695,244160,1072,0.4390563564875491,243088
data/ris/rrc16/2025.10/bview.20251001.0000.gz,31,4087809,77,1002178,1966,0.19617273578146796,1000212,227823,939,0.41216207318839626,226884
data/ris/rrc18/2025.10/bview.20251001.0000.gz,23,1238466,26,1004973,128,0.012736660586901339,1004845,217960,5,0.0022939988988805284,217955
data/ris/rrc19/2025.10/bview.20251001.0000.gz,67,12840346,258,1018976,3830,0.3758675376063813,1015146,237689,872,0.36686594667822237,236817
data/ris/rrc20/2025.10/bview.20251001.0000.gz,67,31014123,602,1030970,4194,0.4068013618243014,1026776,245392,1179,0.48045576057899203,244213
data/ris/rrc21/2025.10/bview.20251001.0000.gz,77,29314946,605,1043661,3970,0.38039171723385273,1039691,238461,1007,0.4222912761415913,237454
data/ris/rrc22/2025.10/bview.20251001.0000.gz,31,4323383,569,1028295,2294,0.22308773260591563,1026001,229528,543,0.2365724443205186,228985
data/ris/rrc23/2025.10/bview.20251001.0000.gz,61,10412004,236,1046137,4227,0.4040579771100726,1041910,241443,706,0.2924085601984734,240737
data/ris/rrc24/2025.10/bview.20251001.0000.gz,30,13154746,287,1041909,4048,0.3885176152619854,1037861,244140,5642,2.310969116080937,238498
data/ris/rrc25/2025.10/bview.20251001.0000.gz,116,53924368,1187,1144335,10741,0.9386237421734019,1133594,258025,5900,2.2866001356457706,252125
data/ris/rrc26/2025.10/bview.20251001.0000.gz,30,3678851,88,1020310,2802,0.2746224186766767,1017508,240109,473,0.19699386528618254,239636
data/routeviews/amsix.ams/2025.10/rib.20251001.0000.bz2,77,26392677,474,1039559,5317,0.5114668816296141,1034242,237209,1370,0.577549755700669,235839
