average collectors per prefix,52.80720253149849,,
total prefixes,1492853,100%,
ignored prefixes,201918,13.525645190785696%, 100%
announced by multiple ases,15071,1.0095434714603513%,7.463920997632702%
below threshold,186847,12.516101719325345%,92.5360790023673%
used prefixes,1290935,86.4743548092143%,
