average collectors per prefix,51.87968477663134,,
total prefixes,1483974,100%,
ignored prefixes,196506,13.241876205378261%,100%
announced by multiple ases,14682,0.9893704337137982%,7.47152758694391%
below threshold,181824,12.252505771664463%,92.5284724130561%
used prefixes,1287468,86.75812379462174%,
