file,peers,entries,origin_sets,v4_pfxs,ignored_v4_pfxs,ignored_v4_pfxs_pct,final_v4_pfxs,v6_pfxs,ignored_v6_pfxs,ignored_v6_pfxs_pct,final_v6_pfxs
data/ris/rrc00/2025.04/bview.20250401.0000.gz,107,50305308,1144,1033716,5575,0.5393164079882675,1028141,231610,1892,0.816890462415267,229718
data/ris/rrc01/2025.04/bview.20250401.0000.gz,137,40784174,906,1025908,8125,0.7919813472553096,1017783,228521,1635,0.7154703506461113,226886
data/ris/rrc03/2025.04/bview.20250401.0000.gz,161,39833370,856,1027113,5093,0.4958558600660298,1022020,229519,1397,0.6086642064491393,228122
data/ris/rrc04/2025.04/bview.20250401.0000.gz,22,8713335,211,1003709,2963,0.29520508434217485,1000746,218229,1173,0.5375087637298435,217056
data/ris/rrc05/2025.04/bview.20250401.0000.gz,68,13594259,292,1002075,3335,0.33280942045256096,998740,216357,1225,0.5661938370378587,215132
data/ris/rrc06/2025.04/bview.20250401.0000.gz,21,6109013,145,1005656,3111,0.30935031462050644,1002545,219950,4913,2.233689474880655,215037
data/ris/rrc07/2025.04/bview.20250401.0000.gz,37,9861455,211,999574,2941,0.2942253399948378,996633,219446,1028,0.4684523755274646,218418
data/ris/rrc10/2025.04/bview.20250401.0000.gz,60,17260991,375,994269,3411,0.3430661118872257,990858,217941,991,0.4547102197383695,216950
data/ris/rrc11/2025.04/bview.20250401.0000.gz,47,10267349,241,1005279,3907,0.38864832548973965,1001372,228165,5425,2.377665286086823,222740
data/ris/rrc12/2025.04/bview.20250401.0000.gz,154,41923629,888,1032181,5841,0.5658891221597763,1026340,222568,1461,0.6564285971029079,221107
data/ris/rrc13/2025.04/bview.20250401.0000.gz,27,5231361,120,1031106,2765,0.2681586568209282,1028341,218512,771,0.35284103390202826,217741
data/ris/rrc14/2025.04/bview.20250401.0000.gz,26,7492481,170,1002929,3685,0.3674238156439788,999244,220330,1263,0.5732310624971634,219067
data/ris/rrc15/2025.04/bview.20250401.0000.gz,58,19253986,465,1043139,4223,0.4048357889025336,1038916,232497,1279,0.5501146251349479,231218
data/ris/rrc16/2025.04/bview.20250401.0000.gz,29,3944315,82,975783,1612,0.16520066449200282,974171,214233,726,0.3388833653078657,213507
data/ris/rrc18/2025.04/bview.20250401.0000.gz,23,1200257,31,978626,120,0.012262089909730581,978506,206352,0,0.0,206352
data/ris/rrc19/2025.04/bview.20250401.0000.gz,66,12641400,281,993587,3904,0.3929197946430459,989683,226570,1189,0.5247826278854217,225381
data/ris/rrc20/2025.04/bview.20250401.0000.gz,66,28743209,612,1004193,3809,0.37930955503573516,1000384,220740,1252,0.5671831113527226,219488
data/ris/rrc21/2025.04/bview.20250401.0000.gz,77,28172099,628,1015297,3856,0.3797903470610077,1011441,221694,1269,0.5724106200438442,220425
data/ris/rrc22/2025.04/bview.20250401.0000.gz,31,4223947,65,1001909,1942,0.19382997857090814,999967,213876,819,0.38293216630196936,213057
data/ris/rrc23/2025.04/bview.20250401.0000.gz,58,10087089,217,1016616,3491,0.3433941625943326,1013125,222175,971,0.43704287161021715,221204
data/ris/rrc24/2025.04/bview.20250401.0000.gz,35,15139082,366,1032630,3598,0.3484307060612223,1029032,224584,5406,2.4071171588358924,219178
data/ris/rrc25/2025.04/bview.20250401.0000.gz,126,56900292,1345,1079086,5611,0.5199770917239219,1073475,242694,5934,2.4450542658656578,236760
data/ris/rrc26/2025.04/bview.20250401.0000.gz,30,3572414,91,993862,2868,0.2885712503345535,990994,227156,491,0.21615101516138688,226665
data/routeviews/amsix.ams/2025.04/rib.20250401.0000.bz2,77,25953525,582,1014549,4825,0.475580775300158,1009724,224316,1336,0.5955883664116692,222980
data/routeviews/cix.atl/2025.04/rib.20250401.0000.bz2,20,1465243,31,969349,106,0.010935174018851827,969243,205943,162,0.07866254254818081,205781
data/routeviews/interlan.otp/2025.04/rib.20250401.0000.bz2,4,273997,0,111443,0,0.0,111443,25566,0,0.0,25566
data/routeviews/iraq-ixp.bgw/2025.04/rib.20250401.0000.bz2,8,690,0,230,0,0.0,230,59,0,0.0,59
data/routeviews/kinx.icn/2025.04/rib.20250401.0000.bz2,19,37578,0,19269,1,0.005189682910374176,19268,2237,0,0.0,2237
data/routeviews/namex.fco/2025.04/rib.20250401.0000.bz2,31,4832994,104,996657,2171,0.21782819967150185,994486,213273,738,0.34603536312613414,212535
