average collectors per prefix,52.836616939729346,,
total prefixes,1492469,100%,
ignored prefixes,198871,13.324966883734268%, 100%
announced by multiple ases,15149,1.015029457898288%,7.6175007919706745%
below threshold,183722,12.30993742583598%,92.38249920802932%
used prefixes,1293598,86.67503311626574%,
