average collectors per prefix,55.699017241442654,,
total prefixes,1534999,100%,
ignored prefixes,174034,11.337727255848375%, 100%
announced by multiple ases,16594,1.0810430495394459%,9.534918464208143%
below threshold,157440,10.256684206308929%,90.46508153579185%
used prefixes,1360965,88.66227274415162%,
