average collectors per prefix,54.13407742257135,,
total prefixes,1476649,100%,
ignored prefixes,160857,10.893380891464389%, 100%
announced by multiple ases,24290,1.6449406731051184%,15.100368650416208%
below threshold,136567,9.248440218359272%,84.8996313495838%
used prefixes,1315792,89.10661910853561%,
