average collectors per prefix,53.772194829656264,,
total prefixes,1536750,100%,
ignored prefixes,186627,12.144265495363591%, 100%
announced by multiple ases,19346,1.258890515698715%,10.36613137434562%
below threshold,167281,10.885374979664878%,89.63386862565437%
used prefixes,1350123,87.8557345046364%,
