average collectors per prefix,53.39800250335138,,
total prefixes,1518425,100%,
ignored prefixes,168235,11.079572583433492%, 100%
announced by multiple ases,18044,1.1883365987783394%,10.725473296281987%
below threshold,150191,9.891235984655152%,89.27452670371801%
used prefixes,1350190,88.92042741656651%,
