file,peers,entries,origin_sets,v4_pfxs,ignored_v4_pfxs,ignored_v4_pfxs_pct,final_v4_pfxs,v6_pfxs,ignored_v6_pfxs,ignored_v6_pfxs_pct,final_v6_pfxs
data/ris/rrc00/2025.11/bview.20251101.0000.gz,115,55421653,1273,1092563,6929,0.634196838077072,1085634,243219,2029,0.8342275891274941,241190
data/ris/rrc01/2025.11/bview.20251101.0000.gz,144,42054304,960,1055003,5928,0.5618941367939237,1049075,243147,1161,0.47748892645189944,241986
data/ris/rrc03/2025.11/bview.20251101.0000.gz,157,39281497,871,1067365,6281,0.5884584935799844,1061084,242487,1800,0.7423078350591991,240687
data/ris/rrc04/2025.11/bview.20251101.0000.gz,22,9078243,221,1036247,4254,0.410519885702926,1031993,235998,1580,0.6694971991288062,234418
data/ris/rrc05/2025.11/bview.20251101.0000.gz,68,14218193,318,1036744,4308,0.41553170310124776,1032436,232559,1265,0.5439479873924467,231294
data/ris/rrc06/2025.11/bview.20251101.0000.gz,22,6365615,158,1040538,3250,0.3123384249301803,1037288,236440,4853,2.0525291828793772,231587
data/ris/rrc07/2025.11/bview.20251101.0000.gz,39,10496085,233,1042148,4357,0.4180788141415615,1037791,236857,962,0.4061522353149791,235895
data/ris/rrc10/2025.11/bview.20251101.0000.gz,61,18112822,396,1032454,4455,0.4314962216234331,1027999,233977,936,0.4000393201041128,233041
data/ris/rrc11/2025.11/bview.20251101.0000.gz,46,10728028,252,1040372,4769,0.4583937283971502,1035603,243628,5155,2.1159308453872296,238473
data/ris/rrc12/2025.11/bview.20251101.0000.gz,155,43576664,972,1068278,6993,0.6546048874918327,1061285,240349,1639,0.6819250340130394,238710
data/ris/rrc13/2025.11/bview.20251101.0000.gz,28,6460748,152,1040529,4378,0.4207475236153918,1036151,234488,482,0.2055542287878271,234006
data/ris/rrc14/2025.11/bview.20251101.0000.gz,25,6571851,149,1033544,4343,0.4202046550509702,1029201,234134,971,0.41471977585485237,233163
data/ris/rrc15/2025.11/bview.20251101.0000.gz,62,20166245,472,1080669,5506,0.5094992083607469,1075163,245477,1005,0.40940699128635266,244472
data/ris/rrc16/2025.11/bview.20251101.0000.gz,31,4129841,82,1012173,2708,0.2675431966669729,1009465,230365,1397,0.6064289280055565,228968
data/ris/rrc18/2025.11/bview.20251101.0000.gz,23,1250539,29,1014778,129,0.01271213999515165,1014649,220082,6,0.002726256577093992,220076
data/ris/rrc19/2025.11/bview.20251101.0000.gz,68,12855497,271,1029882,4621,0.44869218026919583,1025261,238461,870,0.364839533508624,237591
data/ris/rrc20/2025.11/bview.20251101.0000.gz,69,32456112,685,1040816,5090,0.4890393691103903,1035726,248352,1705,0.6865255766009535,246647
data/ris/rrc21/2025.11/bview.20251101.0000.gz,77,29379667,663,1052975,4728,0.449013509342577,1048247,240489,794,0.3301606310475739,239695
data/ris/rrc22/2025.11/bview.20251101.0000.gz,31,4379372,459,1037423,2432,0.23442703699455286,1034991,230304,526,0.2283937751841045,229778
data/ris/rrc23/2025.11/bview.20251101.0000.gz,60,10483288,251,1054355,4589,0.4352423993816124,1049766,240894,1022,0.4242529909420741,239872
data/ris/rrc24/2025.11/bview.20251101.0000.gz,29,14092690,332,1059444,5061,0.47770339914143645,1054383,247744,6094,2.45979721002325,241650
data/ris/rrc25/2025.11/bview.20251101.0000.gz,117,54453389,1276,1122856,14398,1.2822659361485356,1108458,261904,6340,2.4207343148634615,255564
data/ris/rrc26/2025.11/bview.20251101.0000.gz,30,3714271,95,1029984,3437,0.33369450399229506,1026547,240242,462,0.1923060913578808,239780
data/routeviews/amsix.ams/2025.11/rib.20251101.0000.bz2,80,27238106,530,1054033,6068,0.575693550391686,1047965,241878,1121,0.46345678399854473,240757
data/routeviews/cix.atl/2025.11/rib.20251101.0000.bz2,20,2575568,53,1034901,1666,0.1609815818131396,1033235,233203,384,0.16466340484470612,232819
data/routeviews/decix.jhb/2025.11/rib.20251101.0000.bz2,48,3128038,53,1018986,1531,0.1502474028102447,1017455,235254,164,0.06971188587654195,235090
data/routeviews/getafix.mnl/2025.11/rib.20251101.0000.bz2,10,1307414,26,1032835,0,0.0,1032835,229588,349,0.1520114291687719,229239
data/routeviews/interlan.otp/2025.11/rib.20251101.0000.bz2,13,3333024,53,1028880,2349,0.22830650804758573,1026531,231580,299,0.1291130494861387,231281
data/routeviews/iraq-ixp.bgw/2025.11/rib.20251101.0000.bz2,8,758,0,287,1,0.34843205574912894,286,62,0,0.0,62
data/routeviews/ix-br.gru/2025.11/rib.20251101.0000.bz2,6,1824925,24,1033043,150,0.014520208742520881,1032893,235764,136,0.05768480344751531,235628
data/routeviews/ix-br2.gru/2025.11/rib.20251101.0000.bz2,67,18799075,349,1049771,4559,0.4342851917227662,1045212,245128,1025,0.41814888548023893,244103
data/routeviews/kinx.icn/2025.11/rib.20251101.0000.bz2,19,419373,0,151507,19,0.012540674688298229,151488,206707,3,0.0014513296598567054,206704
data/routeviews/namex.fco/2025.11/rib.20251101.0000.bz2,35,7105499,143,1041215,4159,0.3994371959681718,1037056,229513,713,0.3106577840906615,228800
data/routeviews/pacwave.lax/2025.11/rib.20251101.0000.bz2,10,197060,12,33596,1,0.002976544826765091,33595,52125,2,0.0038369304556354917,52123
data/routeviews/pit.scl/2025.11/rib.20251101.0000.bz2,32,3336073,52,1022894,2724,0.26630325331852567,1020170,235252,1555,0.6609933178038869,233697
data/routeviews/pitmx.qro/2025.11/rib.20251101.0000.bz2,20,1927376,32,1042807,6,0.0005753701308103993,1042801,237515,422,0.17767298907437426,237093
data/routeviews/route-views.amsix/2025.11/rib.20251101.0000.bz2,30,10942338,184,1039634,3843,0.36964931889491875,1035791,240620,872,0.36239714071980716,239748
data/routeviews/route-views.bdix/2025.11/rib.20251101.0000.bz2,5,17344,0,6802,1,0.014701558365186709,6801,2276,0,0.0,2276
data/routeviews/route-views.bknix/2025.11/rib.20251101.0000.bz2,29,886431,6,152004,34,0.02236783242546249,151970,234408,202,0.0861745332923791,234206
data/routeviews/route-views.chicago/2025.11/rib.20251101.0000.bz2,64,20062118,401,1056544,5077,0.4805289699245843,1051467,239442,1599,0.667802641140652,237843
data/routeviews/route-views.chile/2025.11/rib.20251101.0000.bz2,4,2487924,52,1022518,1321,0.1291908797693537,1021197,226387,459,0.20275015791542803,225928
data/routeviews/route-views.eqix/2025.11/rib.20251101.0000.bz2,76,26415874,521,1056262,5754,0.5447512075602454,1050508,246357,1171,0.4753264571333471,245186
data/routeviews/route-views.flix/2025.11/rib.20251101.0000.bz2,57,12804882,229,1047868,5350,0.5105604904434528,1042518,243379,5755,2.364624721113983,237624
data/routeviews/route-views.fortaleza/2025.11/rib.20251101.0000.bz2,45,11742122,239,1064351,4365,0.41010907116167505,1059986,244739,5695,2.326968729953134,239044
data/routeviews/route-views.gixa/2025.11/rib.20251101.0000.bz2,5,2007,0,1095,0,0.0,1095,0,0,0,0
data/routeviews/route-views.gorex/2025.11/rib.20251101.0000.bz2,20,351680,0,109074,0,0.0,109074,70034,0,0.0,70034
data/routeviews/route-views.isc/2025.11/rib.20251101.0000.bz2,29,7478898,138,1039002,4995,0.4807497964392754,1034007,235357,662,0.2812748293018691,234695
data/routeviews/route-views.kixp/2025.11/rib.20251101.0000.bz2,34,5211866,95,1031382,3979,0.38579304273295445,1027403,229470,439,0.19131041094696474,229031
data/routeviews/route-views.linx/2025.11/rib.20251101.0000.bz2,96,39575676,766,1066216,6875,0.6448036795546118,1059341,238949,1124,0.4703932638345421,237825
data/routeviews/route-views.mwix/2025.11/rib.20251101.0000.bz2,9,302139,0,97492,0,0.0,97492,56815,0,0.0,56815
data/routeviews/route-views.napafrica/2025.11/rib.20251101.0000.bz2,93,23485769,459,1046767,5294,0.5057476974340995,1041473,240519,5130,2.1328876304990456,235389
data/routeviews/route-views.nwax/2025.11/rib.20251101.0000.bz2,20,1053549,19,1028644,0,0.0,1028644,1961,0,0.0,1961
data/routeviews/route-views.ny/2025.11/rib.20251101.0000.bz2,set(),0,0,0,0,0,0,0,0,0,0
data/routeviews/route-views.perth/2025.11/rib.20251101.0000.bz2,56,10094709,184,1035365,3493,0.3373689471828775,1031872,233964,1178,0.5034962643825546,232786
data/routeviews/route-views.phoix/2025.11/rib.20251101.0000.bz2,11,2280814,58,1035788,1675,0.16171262845292667,1034113,231171,121,0.05234220555346475,231050
data/routeviews/route-views.rio/2025.11/rib.20251101.0000.bz2,50,13187427,254,1052034,4375,0.4158610843375784,1047659,245413,5677,2.3132433897144815,239736
data/routeviews/route-views.sfmix/2025.11/rib.20251101.0000.bz2,28,6614419,117,1039754,3245,0.31209305277979216,1036509,234669,564,0.24033851936131317,234105
data/routeviews/route-views.sg/2025.11/rib.20251101.0000.bz2,96,23194832,501,1072371,5577,0.5200625529784002,1066794,244485,1284,0.5251855942082336,243201
data/routeviews/route-views.soxrs/2025.11/rib.20251101.0000.bz2,16,1886769,31,1008135,136,0.013490256761247255,1007999,230925,63,0.02728158493017213,230862
data/routeviews/route-views.sydney/2025.11/rib.20251101.0000.bz2,47,14094126,277,1040214,5269,0.5065303870165178,1034945,235570,1157,0.4911491276478329,234413
data/routeviews/route-views.telxatl/2025.11/rib.20251101.0000.bz2,34,7610999,139,1033422,4575,0.44270394862892415,1028847,237089,869,0.36652902496530837,236220
data/routeviews/route-views.uaeix/2025.11/rib.20251101.0000.bz2,39,6718162,128,1054303,3755,0.35615947218209565,1050548,240370,581,0.24171069601031742,239789
