average collectors per prefix,53.64335314491613,,
total prefixes,1523948,100%,
ignored prefixes,220670,14.480152866108293%, 100%
announced by multiple ases,14988,0.9834981246079263%,6.792042416277699%
below threshold,205682,13.496654741500366%,93.2079575837223%
used prefixes,1303278,85.5198471338917%,
