average collectors per prefix,54.89810317808754,,
total prefixes,1518856,100%,
ignored prefixes,206872,13.620251031039151%, 100%
announced by multiple ases,23373,1.5388555597107296%,11.29829073050002%
below threshold,183499,12.08139547132842%,88.70170926949999%
used prefixes,1311984,86.37974896896084%,
