average collectors per prefix,52.648462133380924,,
total prefixes,1472377,100%,
ignored prefixes,127657,8.670130000672383%, 100%
announced by multiple ases,23574,1.6010845048516786%,18.46667241122696%
below threshold,104083,7.0690454958207045%,81.53332758877305%
used prefixes,1344720,91.32986999932761%,
